Name,HÖHE,Layer,Position X,Position Y,Position Z,INFO,KOORDINATEN,MESSWERT,NUMMER
HP_FERTIG_OBERKANTE,51.47,HÖHEN,4462764.6260,5794126.8800,51.6060,,,,
HP_FERTIG_OBERKANTE,51.60,HÖHEN,4462763.4040,5794131.5270,51.7450,,,,
HP_FERTIG_OBERKANTE,51.62,HÖHEN,4462761.7980,5794131.3170,51.7640,,,,
HP_FERTIG_OBERKANTE,51.51,HÖHEN,4462765.7140,5794128.4590,51.6460,,,,
HP_FERTIG_OBERKANTE,51.63,HÖHEN,4462765.3230,5794130.8210,51.7690,,,,
HP_FERTIG_OBERKANTE,51.74,HÖHEN,4462751.8820,5794121.6240,51.8810,,,,
HP_FERTIG_OBERKANTE,51.73,HÖHEN,4462753.0320,5794122.4300,51.8670,,,,
HP_FERTIG_OBERKANTE,51.73,HÖHEN,4462754.4920,5794124.5850,51.8680,,,,
HP_FERTIG_OBERKANTE,51.74,HÖHEN,4462750.5470,5794122.8930,51.8820,,,,
HP_FERTIG_OBERKANTE,51.70,HÖHEN,4462751.7730,5794120.4260,51.8380,,,,
HP_FERTIG_OBERKANTE,51.77,HÖHEN,4462748.5670,5794118.3520,51.9130,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462758.7940,5794123.0330,51.7810,,,,
HP_FERTIG_OBERKANTE,51.69,HÖHEN,4462752.5190,5794119.2600,51.8280,,,,
HP_FERTIG_OBERKANTE,51.62,HÖHEN,4462755.8270,5794117.5230,51.7570,,,,
HP_FERTIG_OBERKANTE,51.86,HÖHEN,4462729.2575,5794112.4011,52.0000,,,,
HP_FERTIG_OBERKANTE,51.83,HÖHEN,4462735.8414,5794112.0327,51.9700,,,,
HP_FERTIG_OBERKANTE,51.92,HÖHEN,4462728.1292,5794119.6333,52.0600,,,,
HP_FERTIG_OBERKANTE,51.89,HÖHEN,4462726.9232,5794114.3357,52.0300,,,,
HP_FERTIG_OBERKANTE,51.69,HÖHEN,4462735.0809,5794106.2961,51.8300,,,,
HP_FERTIG_OBERKANTE,51.59,HÖHEN,4462727.7425,5794096.5416,51.7300,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462726.6633,5794098.3898,51.7800,,,,
HP_FERTIG_OBERKANTE,51.62,HÖHEN,4462736.7161,5794097.9473,51.7600,,,,
HP_FERTIG_OBERKANTE,51.61,HÖHEN,4462733.0464,5794097.1846,51.7500,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462754.1380,5794145.7640,51.8880,,,,
HP_FERTIG_OBERKANTE,51.72,HÖHEN,4462752.1120,5794145.9730,51.8600,,,,
HP_FERTIG_OBERKANTE,51.86,HÖHEN,4462752.8250,5794150.5850,52.0020,,,,
HP_FERTIG_OBERKANTE,51.82,HÖHEN,4462755.5320,5794148.2320,51.9570,,,,
HP_FERTIG_OBERKANTE,51.75,HÖHEN,4462750.5350,5794147.2190,51.8880,,,,
HP_FERTIG_OBERKANTE,51.60,HÖHEN,4462746.1830,5794103.9440,51.7390,,,,
HP_FERTIG_OBERKANTE,51.95,HÖHEN,4462726.9659,5794120.7440,51.7300,,,,
HP_FERTIG_OBERKANTE,51.60,HÖHEN,4462744.7420,5794104.9090,51.7400,,,,
HP_FERTIG_OBERKANTE,51.59,HÖHEN,4462746.9600,5794105.1330,51.7320,,,,
HP_FERTIG_OBERKANTE,51.64,HÖHEN,4462728.1021,5794099.5952,51.7800,,,,
HP_FERTIG_OBERKANTE,51.63,HÖHEN,4462725.3068,5794099.6799,51.7700,,,,
HP_FERTIG_OBERKANTE,51.10,HÖHEN,4462781.7879,5794119.5727,51.2720,,,,
HP_FERTIG_OBERKANTE,51.68,HÖHEN,4462720.1422,5794098.8393,51.8200,,,,
HP_FERTIG_OBERKANTE,51.62,HÖHEN,4462714.1515,5794100.4356,51.7600,,,,
HP_FERTIG_OBERKANTE,51.42,HÖHEN,4462764.2131,5794123.7295,51.5741,,,,
